PDF_Item,Excel_Item,Row,Score,Wrote_Rate,Wrote_Qty,Action
"Set Up, Format and Proof the Notice & Claim Form",Notification/Correspondence Fees - Set up format and proof the notice & claim form,137,100.0,150.0,6.0,"write(C,D)"
Prepare & Release Email Campaign 1 6,Notification/Correspondence Fees: Prepare and Release initial email campaign 1,45,96.7741935483871,0.005,13700.0,"write(C,D)"
Submit File for NCOA 1,Notification/Correspondence Fees: Submit file for NCOA (one time fee),21,95.23809523809524,0.005,21188.0,"write(C,D)"
Print/Address Notice Packet [Standard Postcard (Single)] 1,Notification/Correspondence Fees: Print/address notice packet (per notice),24,92.85714285714286,0.05,21188.0,"write(C,D)"
Process Returned Notices 8% 9,Notification/Correspondence Fees: Process returned notices (per notice),29,88.88888888888889,0.15,695.0,"write(C,D)"
Advanced Address Search 9,Notification/Correspondence Fees: Advanced address search (per trace),30,95.83333333333333,0.15,695.0,"write(C,D)"
Re-Mail Notices 60% 5,Notification/Correspondence Fees: Re-mail notices (per notice),32,73.6842105263158,0.25,817.0,"write(C,D)"
Prepare & Release Reminder Email Campaign 98.5% 6,Notification/Correspondence Fees: Prepare and Release initial email campaign 1,45,77.77777777777777,0.005,4495.0,"write(C,D)"
Receive and Respond to Requests for Notice,Notification/Correspondence Fees: Receive and respond to notice requests (per notice),35,93.93939393939394,2.0,6.0,"write(C,D)"
Form Letter Correspondence,Notification/Correspondence Fees: Submit file for NCOA (one time fee),21,100.0,5.0,4.0,"write(C,D)"
Email Correspondence,Notification/Correspondence Fees: Submit file for NCOA (one time fee),21,100.0,2.5,81.0,"write(C,D)"
Processing Change of Address Requests,Notification/Correspondence Fees: Processing change of address requests (per request),38,100.0,2.0,4.0,"write(C,D)"
"Set-Up Fee for Dedicated Website - Online Filing Capability 1 One-Time $ 3 ,500.00 $ 3",Mail Handling Scanning & Data/Image Storing: Scanning set-up (one time fee),127,50.0,125.0,9.0,"write(C,D)"
Modifications to Post-Production Website,Website - Modifications to post-production website,141,100.0,150.0,5.0,"write(C,D)"
IVR Operating System (per minute) 1,Contact Center: IVR operating system (per minute),62,95.23809523809524,0.15,830.0,"write(C,D)"
Operator Training 1 One-Time $ 5 00.00 $,Contact Center: Operator training (one time fee),64,82.92682926829268,0.95,3.0,"write(C,D)"
Review & Process Opt-Out Forms Received,Process Opt-outs and Objections - Review and process opt-out forms received/Logging,148,100.0,75.0,3.0,"write(C,D)"
Online Opt-In or Claim Forms 2,Process Claim Forms Deficiencies and Rejections: Online opt-in or claim forms - Tier 2 (per form),83,100.0,0.27,1443.0,"write(C,D)"
Opt-In or Claim Forms,Process Claim Forms Deficiencies and Rejections: Opt-in or claim forms (per form),72,100.0,2.95,17.0,"write(C,D)"
Send Form Deficiency & Rejection Letters 1,Process Claim Forms Deficiencies and Rejections: Send form deficiency & rejection letters (per letter),97,96.66666666666667,3.0,83.0,"write(C,D)"
Claimant Responses to Deficient Claim Form,Process Claim Forms Deficiencies and Rejections: Claimant responses to deficient claim form (per response),100,100.0,3.0,50.0,"write(C,D)"
Review of Claims Filed - Blended Rate,Dispute Resolutions/Validation of Claims - Review of claims filed,155,69.76744186046511,100.0,5.0,"write(C,D)"
Top Claim Review (Sr. Project Manager),Project Management - Project management,169,68.08510638297872,175.0,0.0,"write(C,D)"
Processing & Printing Distribution Checks 10% 2,Distribution Services: Processing and printing distribution checks (per check),104,94.50549450549451,1.0,166.0,"write(C,D)"
Processing & Issuing Electronic Payments 90% 1,Distribution Services: Processing and issuing electronic payments - Tier 1 (per payment),107,96.7032967032967,0.25,9494.0,"write(C,D)"
Process Checks Returned as Undeliverable,Distribution Services: Process checks returned as undeliverable (per check),117,100.0,0.25,7.0,"write(C,D)"
Skip-Tracing Return Checks,Distribution Services: Skip-tracing return checks (per check),118,100.0,0.75,7.0,"write(C,D)"
All Work on Re-Issuance of Checks,Distribution Services - All work on reissuance of checks,161,77.77777777777777,85.0,5.0,"write(C,D)"
Print & Mail Re-Issues - Checks 1,Distribution Services: Print and mail reissues - checks (per check),120,77.77777777777777,2.5,902.0,"write(C,D)"
Recording and Reconciling Settlement Fund Activity,Tax Reporting - Recording and reconciling SFA activity during the year,165,80.95238095238095,100.0,5.0,"write(C,D)"
Preparation of Settlement Fund Tax Return,Tax Reporting: Preparation of Settlement Fund tax return (per year),123,100.0,2000.0,1.0,"write(C,D)"
Scanning / Images of Documents 1,Mail Handling Scanning & Data/Image Storing: Scanning/images of documents (per scan),128,94.73684210526315,0.1,1570.0,"write(C,D)"
Mail Handling Charges 1,Mail Handling Scanning & Data/Image Storing: Mail handling charges (per piece),129,95.45454545454545,0.1,703.0,"write(C,D)"
PO Box Fee,Mail Handling Scanning & Data/Image Storing: PO Box Fee (one time fee),132,100.0,50.0,9.0,"write(C,D)"
Data / Image Storage - Including Electronic Claims Received,Mail Handling Scanning & Data/Image Storing: Data/image storage (per month),130,59.40594059405941,100.0,9.0,"write(C,D)"
Technology Charge,Mail Handling Scanning & Data/Image Storing: Technology charge (per month),131,100.0,100.0,9.0,"write(C,D)"
Senior Director,Project Management - Senior Director,168,100.0,250.0,5.0,"write(C,D)"
Project Management - Blended Rates,Project Management - Project management,169,100.0,150.0,5.0,"write(C,D)"
Staff - Blended Rates,Project Management - Staff,170,51.16279069767442,85.0,5.0,"write(C,D)"
Clerical or Data Entry - Blended Rates,Project Management - Clerical/data entry,171,69.0909090909091,50.0,5.0,"write(C,D)"
Technical Consulting - Blended Rates,Project Management - Technical consulting,172,74.07407407407408,140.0,5.0,"write(C,D)"
Postage - Notice (Postcard) 1,Case Setup: State Record Charges (per record),9,36.36363636363637,0.406,27005.0,"write(C,D)"
Postage - Letters 1,Case Setup: State Record Charges (per record),9,36.36363636363637,0.73,119.0,"write(C,D)"
Postage - Distribution (Letter) 4,Distribution Services: Processing and issuing electronic payments - Tier 4 (per payment),110,77.77777777777777,0.593,68.0,"write(C,D)"
Prepare CAFA Notice to State & Federal AG,Notification/Correspondence Fees: Prepare CAFA notice (per mailing),28,59.25925925925926,2500.0,1.0,"write(C,D)"
Postage - CAFA,Case Setup: State Record Charges (per record),9,50.0,14.0,6.0,"write(C,D)"
Print Reminder Notice [Standard Postcard (Single)] 99% 1,Notification/Correspondence Fees: Print reminder letter/postcard (per reminder),40,84.84848484848484,0.05,19370.0,"write(C,D)"
Process Undeliverable Reminder Notices 5% 5,Notification/Correspondence Fees: Process undeliverable reminder notices (per piece),41,96.7741935483871,0.25,969.0,"write(C,D)"
Postage - Notice (Postcard) 1,Case Setup: State Record Charges (per record),9,36.36363636363637,0.406,19370.0,"write(C,D)"
Processing & Issuing Single-Postcard Voucher 2,Distribution Services: Processing and issuing electronic payments - Tier 2 (per payment),108,76.19047619047619,0.5,166.0,"write(C,D)"
Emailing of Non-Cash Vouchers 1,Distribution Services:  Emailing of non-cash payments (per email),114,78.43137254901961,0.05,9494.0,"write(C,D)"
Postage - Distribution (Postcard) 2,Distribution Services: Processing and issuing electronic payments - Tier 2 (per payment),108,77.77777777777777,0.406,166.0,"write(C,D)"
