PDF_Item,Excel_Item,Excel_Row,Match_Score,Wrote_Rate(C),Wrote_Qty(D),Existing_Rate(C)_after,Existing_Qty(D)_after,Action
Develop Class List and Import (assumes one data file),Case Setup: Develop class list and import (one time fee),20,80.76923076923077,False,False,2000.0,1.0,skipped-no-empty-targets-or-NaN
"Set Up, Format and Proof the Notice & Claim Form",Notification/Correspondence Fees - Set up format and proof the notice & claim form,137,100.0,False,False,150.0,6.0,skipped-no-empty-targets-or-NaN
Generate Email Address List,Notification/Correspondence Fees: Generate email address list (one time fee),42,100.0,False,False,500.0,1.0,skipped-no-empty-targets-or-NaN
Email List Cleanse and Hygiene,Notification/Correspondence Fees: Email list cleanse and hygiene (one time),43,100.0,False,False,2250.0,1.0,skipped-no-empty-targets-or-NaN
Prepare & Release Email Campaign,Notification/Correspondence Fees: Prepare and Release initial email campaign 1,45,100.0,False,False,0.005,1613700.0,skipped-no-empty-targets-or-NaN
Submit File for NCOA,Notification/Correspondence Fees: Submit file for NCOA (one time fee),21,100.0,False,False,0.005,121188.0,skipped-no-empty-targets-or-NaN
Print/Address Notice Packet [Standard Postcard (Single)],Notification/Correspondence Fees: Print/address notice packet (per notice),24,100.0,False,False,0.05,121188.0,skipped-no-empty-targets-or-NaN
Process Returned Notices 8%,Notification/Correspondence Fees: Process returned notices (per notice),29,96.0,False,False,0.15,9695.0,skipped-no-empty-targets-or-NaN
Advanced Address Search,Notification/Correspondence Fees: Advanced address search (per trace),30,100.0,False,False,0.15,9695.0,skipped-no-empty-targets-or-NaN
Re-Mail Notices 60%,Notification/Correspondence Fees: Re-mail notices (per notice),32,90.9090909090909,False,False,0.25,5817.0,skipped-no-empty-targets-or-NaN
Generate Supplemental List of Applicable Email Addresses,Notification/Correspondence Fees: Generate supplemental list of email addresses (one time fee),49,89.10891089108911,False,False,450.0,1.0,skipped-no-empty-targets-or-NaN
Prepare & Release Reminder Email Campaign 98.5%,Notification/Correspondence Fees: Prepare and Release initial email campaign 1,45,82.92682926829268,False,False,0.005,1613700.0,skipped-no-empty-targets-or-NaN
Receive and Respond to Requests for Notice,Notification/Correspondence Fees: Receive and respond to notice requests (per notice),35,95.0,False,False,2.0,36.0,skipped-no-empty-targets-or-NaN
