PDF_Item,Excel_Item,Score,Second,Delta,Qty,Rate,Action
Develop Class List and Import (assumes one data file),Case Setup: Develop class list and import (per record),84.05797101449275,84.05797101449275,0.0,1.0,2000.0,ambiguous
"Set Up, Format and Proof the Notice & Claim Form",Notification/Correspondence Fees - Set up format and proof the notice & claim form,100.0,54.054054054054056,45.945945945945944,6.0,150.0,write
Generate Email Address List,Notification/Correspondence Fees: Generate email address list (one time fee),100.0,100.0,0.0,1.0,500.0,ambiguous
Email List Cleanse and Hygiene,Notification/Correspondence Fees: Email list cleanse and hygiene (one time),100.0,100.0,0.0,1.0,2250.0,ambiguous
Prepare & Release Email Campaign,Notification/Correspondence Fees: Prepare and Release initial email campaign 1,100.0,100.0,0.0,13700.0,0.005,ambiguous
Submit File for NCOA,Notification/Correspondence Fees: Submit file for NCOA (one time fee),100.0,100.0,0.0,21188.0,0.005,ambiguous
Print/Address Notice Packet [Standard Postcard (Single)],Notification/Correspondence Fees: Print/address notice packet (per notice),100.0,100.0,0.0,21188.0,0.05,ambiguous
Process Returned Notices,Notification/Correspondence Fees: Process returned notices (per notice),100.0,100.0,0.0,695.0,0.15,ambiguous
Advanced Address Search,Notification/Correspondence Fees: Advanced address search (per trace),100.0,75.67567567567568,24.324324324324323,695.0,0.15,write
Re-Mail Notices,Notification/Correspondence Fees: Re-mail notices (per notice),100.0,72.72727272727272,27.27272727272728,817.0,0.25,write
Generate Supplemental List of Applicable Email Addresses,Notification/Correspondence Fees: Generate supplemental list of email addresses (one time fee),87.64044943820224,63.46153846153846,24.17891097666378,1.0,450.0,ambiguous
Prepare & Release Reminder Email Campaign,Notification/Correspondence Fees: Prepare and Release initial email campaign 1,86.15384615384616,86.15384615384616,0.0,4495.0,0.005,ambiguous
Receive and Respond to Requests for Notice,Notification/Correspondence Fees: Receive and respond to notice requests (per notice),93.93939393939394,59.09090909090909,34.848484848484844,6.0,2.0,write
Form Letter Correspondence,Notification/Correspondence Fees: Submit file for NCOA (one time fee),100.0,100.0,0.0,4.0,5.0,ambiguous
Email Correspondence,Notification/Correspondence Fees: Submit file for NCOA (one time fee),100.0,100.0,0.0,81.0,2.5,ambiguous
Processing Change of Address Requests,Notification/Correspondence Fees: Processing change of address requests (per request),100.0,60.0,40.0,4.0,2.0,write
Set-Up Fee for Dedicated Website - Online Filing Capability,Mail Handling Scanning & Data/Image Storing: Scanning set-up (one time fee),53.608247422680414,48.54368932038835,5.064558102292061,1.0,3500.0,ambiguous
Monthly Hosting,Website: Monthly hosting (per month),100.0,63.63636363636363,36.36363636363637,9.0,125.0,write
Modifications to Post-Production Website,Website - Modifications to post-production website,100.0,49.18032786885246,50.81967213114754,5.0,150.0,write
IVR Design & Setup,Website: Website setup (one time fee),100.0,100.0,0.0,1.0,1000.0,ambiguous
IVR Operating System (per minute),Contact Center: IVR operating system (per minute),100.0,100.0,0.0,830.0,0.15,ambiguous
Operator Training,Contact Center: Operator training (one time fee),100.0,100.0,0.0,1.0,500.0,ambiguous
Live Operator Minutes,Contact Center: Live operator minutes (per minute),100.0,100.0,0.0,3.0,0.95,ambiguous
Review & Process Opt-Out Forms Received,Process Opt-outs and Objections - Review and process opt-out forms received/Logging,100.0,86.11111111111111,13.888888888888886,3.0,75.0,write
Online Opt-In or Claim Forms,Process Claim Forms Deficiencies and Rejections: Online opt-in or claim forms (per form),100.0,100.0,0.0,1443.0,0.27,ambiguous
Opt-In or Claim Forms,Process Claim Forms Deficiencies and Rejections: Opt-in or claim forms (per form),100.0,100.0,0.0,17.0,2.95,ambiguous
Send Form Deficiency & Rejection Letters,Process Claim Forms Deficiencies and Rejections: Send form deficiency & rejection letters (per letter),100.0,79.16666666666667,20.83333333333333,83.0,3.0,write
